t,LEAD1/LA,LEAD2/LL,LEAD3/RA,V1'/V1,V2'/V2,PACE,RESPPM,RESPPH,LOFF,GPIO,CRC
0,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
1,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
2,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,00000000,,
3,11000000,120a677e,13f086c3,1424eabe,15aafc4a,1aac924f,1b000000,,1d000000,,
4,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
5,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
6,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
7,70b9d7a3,f074e5ab,000000d0,000000d8,05000030,00000080,9848f48b,,682ef797,,
8,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
9,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
10,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
11,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,00000000,,
12,11000000,12f11e7f,13b9d2fb,14ec22fa,156d6638,1a82c54b,1b000000,,1d000000,,
13,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
14,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
15,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
16,d15d8746,61842557,010000a0,010000b0,0b0000d0,01000000,b1a8f117,,4172f52f,,
17,00080000,17010000,2ff11ff2,3f5163f5,42a163d9,5841b2e3,a051f7dc,,b0010000,,
18,3a675100,16f657dc,00006814,00006c00,00007400,0000c002,d2fa4500,,a2fd4bd4,,
19,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
20,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
21,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
22,112bff47,01ed2c58,010000b0,000000c0,0b000060,01000000,719ef817,,81d6ee2f,,
23,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
24,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
25,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
26,41bbfc47,21f02c58,010000b0,000000c0,0b000060,01000000,3119f217,,41d8dd2f,,
27,7f040000,9fc45aca,df041dab,3c459435,5f050844,80061f6b,c0060000,,40070000,,
28,bfbe8a27,00800dc1,00000e00,03000300,0000d8e2,b2bf0800,b57f09b8,,d3fe8971,,
29,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
30,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
31,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
32,0115cd47,01dbe358,010000a0,010000b0,0b0000d0,01000000,d10cf217,,3196ea2f,,
33,04200000,5f040000,bfc4d1c9,ff04e4d0,1c85e55a,7f0572e5,80c6bc87,,c0060000,,
34,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
35,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
36,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
37,b1b50148,41ed2c58,010000b0,000000c0,0b000060,01000000,c17ffc17,,f1ffff2f,,
38,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
39,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
40,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
41,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,00000000,,
42,11000000,12f85a7f,13f7a5fb,14eecbf9,15246277,1a3b40fb,1b000000,,1d000000,,
43,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
44,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
45,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
46,4565f31f,c6904060,06000080,070000c0,2c000040,04000000,84f2f75f,,846146bf,,
47,04200000,5f040000,bf44cdf8,ff04ea87,1185e519,7fc518ee,8086b613,,c0060000,,
48,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
49,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
50,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
51,1cc49651,0ceddb56,00000068,0000006c,02000074,000000c0,a8a6fc45,,fcffff4b,,
52,00080000,17010000,2f11c7f2,3ff1ffff,454103ec,5f011b53,a001e2ea,,b0010000,,
